performer;title;lyrics
M;Cheat On Me;Why do you cheat on me Why do I cheat on thee Why do I cheat on me Why do I cheat on me  I have a passionate heart It can tear us apart I have the loves of many men But I don’t love any of them  Why do I cheat on me  You have your feelings I have mine I spit upon you and change my mind I have many hearts to break And many, many, many more to take  Let the light of stars pour out Like a candle in a spout Let the wick recede and break Let the starlight radiate Why do you cheat on me Why do I cheat on me Why do I cheat on thee Why do I desecrate me Why do I piss my dreams That’s because that’s what it is  I have the drive I got the scope If I, if I, if I, could I give you a rope  Your love means zero to me I’m a passionateless wave upon the sea Passionateless wave upon the sea Why, why, why Do you cheat on me Why, why, why Do I cheat on thee Oh why, do I cheat on me Why do I cheat on myself Well I got nobody else  I’m only young once I want to taste it all and have fun I have no real feelings in my soul Where most have passion I got a hole I really got nobody else  I want lovers like the rain So many of them, so much the same You say you love me, I know it’s true But I, I, I don’t love you  Why do I cheat on me Why do you cheat on me Your love means zero to me A passionateless wave Your love means zero to me
M;Eye Of The Beholder;Do you see what I see? Truth is an offence Your silence for your confidence  Do you hear what I hear? Doors are slamming shut Limit your imagination, keep you where they must  Do you feel what I feel? Bittering distress Who decides what you express?  Do you take what I take? Endurance is the word Moving back instead of forward seems to me absurd  Doesn’t matter what you see Or into it what you read You can do it your own way If it’s done just how I say  Independence limited Freedom of choice Choice is made for you, my friend Freedom of speech Speech is words that they will bend Freedom with their exception  Do you fear what I fear? Living properly Truths to you are lies to me  Do you choose what I choose? More alternatives Energy derives from both the plus and negative  Do you need what I need? Boundaries overthrown Look inside, to each his own  Do you trust what I trust? Me, myself and I Penetrate the smoke screen, I see through the selfish lie  Doesn’t matter what you see Or into it what you read You can do it your own way If it’s done just how I say  Independence limited Freedom of choice Choice is made for you, my friend Freedom of speech Speech is words that they will bend Freedom with their exception  Do you know what I know? Your money and your wealth Your silence just to hear yourself  Do you want what I want? Desire not a thing I hunger after independence, lengthen freedom’s ring  Doesn’t matter what you see Or into it what you read You can do it your own way If it’s done just how I say  Independence limited Freedom of choice Choice is made for you, my friend Freedom of speech Speech is words that they will bend Freedom no longer frees you Doesn’t matter what you see Or into it what you read You can do it your own way If it’s done just how I say 
M;The Frayed Ends Of Sanity;Never hunger Never prosper I have fallen prey to failure Struggle within Triggered again Now the candle burns at both ends  Twisting under schizophrenia Falling deep into dementia  Old habits reappear Fighting the fear of fear Growing conspiracy Everyone’s after me Frayed ends of sanity Hear them calling Hear them calling me  Birth of terror Death of much more I’m the slave of fear, my captor Never warnings Spreading its wings As I wait for the horror she brings  Loss of interest, question, wonder Waves of fear they pull me under  Old habits reappear Fighting the fear of fear Growing conspiracy Everyone’s after me Frayed ends of sanity Hear them calling Hear them calling me  Into ruin I am sinking Hostage of this nameless feeling Hell is set free Flooded I’ll be Feel the undertow inside me  Height, hell, time, haste, terror, tension Life, death, want, waste, mass depression  Old habits reappear Fighting the fear of fear Growing conspiracy Myself is after me Frayed ends of sanity Hear them calling Frayed ends of sanity Hear them calling Hear them calling me
N;Pen Cap Chew;Oh lesser God Oh loathe me  Oh oh ...  You get you get you get you get to me Holy is the time its such an easy way to go You get you get you get you get to be Hide the struggle in the skin under a fingernail  [x2] Oh lesser God Oh loathe me Oh lesser God Oh your lonely  Waste your time by saving worthless gullables Kill a Politician and then wear his clothes This decade is the age of Re-hashing Protest and then go to jail for Trespassing Do you mean insane?  [x3] Go Home ... 
M;Last Caress / Green Hell;I've got something to say, I killed your baby today and it Doesn't matter much to me, as long as it's dead. I've got something to say, I raped your mother today and it Doesn't matter much to me, as long as she's spread.  Sweet Lovely Death Just waiting for your breath Come sweet Death One Last Caress.  I've got something to say, I killed your baby today and it Doesn't matter much to me, as long as it's dead. I've got something to say, I raped your mother today and it Doesn't matter much to me, as long as she's spread.  Sweet Lovely Death Just waiting for your breath Come sweet Death One Last Caress.  Sweet Lovely Death Just waiting for your breath Come sweet Death One Last Caress.  One Last Caress today, Ohhh Ohhh Ohhh [repeat]  Here in this place lies the key to your death, Touch it, see it. Here in this place is the means to your end, Touch it, feel it, green hell.  You did your best as someone could, I bet you never knew you would, And did you run away from me, I bet you thought you really could.  We're gonna burn in hell - Green hell. Like every hell but kind of green - Green hell, green hell. Try let me get back up there - Green hell, green hell. Feel it burning in your cereal - Green hell, green hell. Throw your fuckin' friends inside - Green hell, green hell. Gotta fuckin' pay and you must stay - Green hell. Cannot refill the torch of death - Green hell, green hell. Hell is reigning in your blood - Green hell, green hell. Gotta burn it all, green hell.  You did your best as someone could, I bet you never knew you would, And did you run away from me, I bet you thought you really could.  Here in this place lies the key to your death, Touch it, see it. Here in this place is your world that ended, Touch it, feel it, green hell.  You did your best as someone could, I bet you never knew you would, And did you run away from me, I bet you thought you really could. You've come to this as someone told, I bet you never knew you would. Gonna bring green hell, green hell. 
N;Smells Like Teen Spirit;Load up on guns, bring your friends It's fun to lose and to pretend She's over bored and self assured Oh no, I know a dirty word  Hello, hello, hello, how low? [x3] Hello, hello, hello!  With the lights out, it's less dangerous Here we are now, entertain us I feel stupid and contagious Here we are now, entertain us A mulatto An albino A mosquito My libido Yeah, hey, yay  I'm worse at what I do best And for this gift I feel blessed Our little group has always been And always will until the end  Hello, hello, hello, how low? [x3] Hello, hello, hello!  With the lights out, it's less dangerous Here we are now, entertain us I feel stupid and contagious Here we are now, entertain us A mulatto An albino A mosquito My libido Yeah, hey, yay  And I forget just why I taste Oh yeah, I guess it makes me smile I found it hard, it's hard to find Oh well, whatever, never mind  Hello, hello, hello, how low? [x3] Hello, hello, hello!  With the lights out, it's less dangerous Here we are now, entertain us I feel stupid and contagious Here we are now, entertain us A mulatto An albino A mosquito My libido  A denial! [x9] 
M;Fixxxer;Dolls of voodoo all stuck with pins One for each of us and our sins So you lay us in a line Push your pins, they make us humble Only you can tell in time If we fall or merely stumble  But tell me Can you heal what father's done? Or fix this hole in a mother's son? Can you heal the broken worlds within? Can you strip away so we may start again?  Tell me Can you heal what father's done? Or cut this rope and let us run? Just when all seems fine And I'm pain free You jab another pin Jab another pin in me  Mirror, mirror upon thy wall Break the spell or become the doll See you sharpening the pins So the holes will remind us We're just the toys in the hands of another And in time the needles turn from shine to rust  But tell me Can you heal what father's done? Or fix this hole in a mother's son? Can you heal the broken worlds within? Can you strip away so we may start again?  Tell me Can you heal what father's done? Or cut this rope and let us run? Just when all seems fine And I'm pain free You jab another pin Jab another pin in me  Jab it Here come the pins  Blood for face Sweat for dirt Three X's for the stone To break this curse A ritual's due I believe I'm not alone Shell of shotgun Pint of gin Numb us up to shield the pins Renew our faith Which way we can To fall in love with life again To fall in love with life again To fall in love with life again To fall in love To fall in love To fall in love with life again  So tell me Can you heal what father's done? Or fix this hole in a mother's son? Can you heal the broken worlds within? Can you strip away so we may start again?  Tell me Can you heal what father's done? Or cut this rope and let us run? Just when all seems fine And I'm pain free You jab another pin Jab another pin in me  No more pins in me No more, no more pins in me No more, no more pins in me No more, no more, no more No, no, no 
M;The Thing That Should Not Be;Messenger of fear in sight Dark deception kills the light  Hybrid children watch the sea Pray for father, roaming free  Fearless wretch Insanity He watches Lurking beneath the sea Great old one Forbidden site He searches Hunter of the shadows is rising Immortal In madness you dwell  Crawling chaos, underground Cult has summoned, twisted sound  Out from ruins once possessed Fallen city, living death  Fearless wretch Insanity He watches Lurking beneath the sea Timeless sleep Has been upset He awakens Hunter of the shadows is rising Immortal In madness you dwell  Not dead which eternal lie Stranger eons death may die  Drain you of your sanity Face the thing that should not be  Fearless wretch Insanity He watches Lurking beneath the sea Great old one Forbidden site He searches Hunter of the shadows is rising Immortal In madness you dwell
N;Opinion;Congratulations you have won It's a years subscription of bad puns. And it makes your story our concern And you set it up for returns (Alt: You said it all and you glory burns)  My opinions. Mmm. Mmm. [x4]  And there seems to be a problem here. Your state of emotion seems to clear. You rise and fall like wall street stock And you had an affect on our happy talk.  Our opinions. Mmm. Mmm. [x2] My opinions. Mmm. Mmm. [x2]  Congratulations you have won It's a years subscription of bad puns. And it makes your story our concern And you set it up for returns (Alt: You said it all and you glory burns)  Our opinions. Mmm. Mmm. Your opinions. Mmm. Mmm. [x3] My opinions. Mmm. Mmm. 
M;Here Comes Revenge;Little grave I'm grieving, I will mend you Sweet revenge I'm dreaming, I will end you  I've been here since dawn of time Countless hatreds built my shrine I was born in anger's flame He was Abel, I was Cain I am here I'm hell unbound Burn your kingdom to the ground To the ground  Here comes revenge, just for you Revenge, you can't undo Revenge, is killing me Revenge, set me free Eye for an eye, tooth for a tooth A life for a life, it's my burden of proof Revenge, just for you Revenge You ask forgiveness, I give you sweet revenge  I return this nightmare, I will find you Sleepless, cloaked in despair, I'm behind you  Man has made me oh so strong Blurring lines of right and wrong Far too late for frail amends Now it's come to sweet revenge Desperate hands That lose control Have no mercy on your soul On your soul  Here comes revenge, just for you Revenge, you can't undo Revenge, is killing me Revenge, just set me free Eye for an eye, tooth for a tooth A life for a life, it's my burden of proof Revenge, just for you Revenge You ask forgiveness, I give you sweet revenge  Here comes revenge, just for you Revenge, you can't undo Revenge, is killing me Revenge, set me free Eye for an eye, tooth for a tooth A life for a life, it's my burden of proof Revenge, just for you Revenge You ask forgiveness, I give you sweet revenge  Sweet revenge 
M;The Memory Remains;Fortune, fame Mirror vain Gone insane But the memory remains  Heavy rings on fingers wave Another star denies the grave See the nowhere crowd, cry the nowhere tears of honor  Like twisted vines that grow That hide and swallow mansions whole And dim the light of an already faded prima donna  Fortune, fame Mirror vain Gone insane... Fortune, fame Mirror vain Gone insane... But the memory remains  Heavy rings hold cigarettes Up to lips that time forgets While the Hollywood sun sets behind your back  And can't the band play on? Just listen, they play my song Ash to ash Dust to dust Fade to black  Fortune, fame Mirror vain Gone insane... Fortune, fame Mirror vain Gone insane... Dance, little tin goddess  Na-na-na...  Drift away Fade away Little tin goddess  Ash to ash Dust to dust Fade to black  Fortune, fame Mirror vain Gone insane... Fortune, fame Mirror vain Gone insane... But the memory remains  Ash to ash Dust to dust Fade to black... But the memory remains, yeah  To this faded prima donna yeah, yeah, yeah, hey  [Solo]  Dance, little tin goddess, dance  Na-na-na...  [spoken:] Say yes At least say hello Say yes At least say hello
M;Attitude;Suppose I say I'm never satisfied Suppose I say You cut some root To make the tree survive  Just let me kill you for a while Just let me kill you for a smile Just let me kill you once I'm oh so bored to death  Ohhhh, I hunger I hunger I eat  Born Into Attitude Asleep at the wheel Throw all your bullets in the fire And run like hell Why cure the fever? What ever happened to sweat?  Suppose I say The vultures smile at me Suppose I say I've sent them down And they plan to pick you clean  And satisfaction this way comes And satisfaction this way comes And satisfaction's here and gone, gone Yeah gone again  Oooh, I hunger Ooh I hunger I eat  Born Into Attitude Asleep at the wheel Throw all your bullets in the fire And stand there  Born Into Attitude Twist mother tongue Throw all your bullets in the fire And run like hell Why cure the fever? What ever happened to sweat?  [Solo]  Just let me kill you for a while Just let me kill you for a smile Just let me kill you once for me I'm bored to death  And satisfaction this way comes And satisfaction this way comes And satisfaction's here and gone, gone Gone again  Yeah I hunger Oooh I hunger I eat  Born Into Attitude Asleep at the wheel Throw all your bullets in the fire And stand there  Born Into Attitude Twist mother tongue Throwing all your bullets in the fire And run like hell Why cure the fever? What ever happened to sweat?
